PC(    x,xxxxxxxxxxxxxxxxx) ALU(    x) Dmem(    x) [0,1] probe(0000000000000xxx)
PC(    6,01100110110000101) ALU(    0) Dmem(    0) [0,0] probe(0000000000000000)
PC(    0,01100000100000010) ALU(    0) Dmem(    0) [1,0] probe(0000000000000000)
PC(    0,01100000100000010) ALU(    0) Dmem(    0) [0,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    0) Dmem(    0) [1,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    0) Dmem(    0) [0,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    2) Dmem(    0) [1,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    2) Dmem(    0) [0,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    0) Dmem(    2) [1,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    0) Dmem(    2) [0,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    0) Dmem(    0) [1,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    0) Dmem(    0) [0,0] probe(0000000000000000)
PC(    4,01010100001111101) ALU(    4) Dmem(    0) [1,0] probe(0000000000000100)
PC(    4,01010100001111101) ALU(    4) Dmem(    0) [0,0] probe(0000000000000100)
PC(    4,01010100001111101) ALU(    0) Dmem(    4) [1,0] probe(0000000000000000)
PC(    4,01010100001111101) ALU(    0) Dmem(    4) [0,0] probe(0000000000000000)
PC(    4,01010100001111101) ALU(    2) Dmem(    0) [1,0] probe(0000000000000000)
PC(    4,01010100001111101) ALU(    2) Dmem(    0) [0,0] probe(0000000000000000)
PC(    4,01010100001111101) ALU(    2) Dmem(    2) [1,0] probe(0000000000000000)
PC(    4,01010100001111101) ALU(    2) Dmem(    2) [0,0] probe(0000000000000000)
PC(    6,01100110110000101) ALU(    0) Dmem(    2) [1,0] probe(0000000000000001)
PC(    6,01100110110000101) ALU(    0) Dmem(    2) [0,0] probe(0000000000000001)
PC(    6,01100110110000101) ALU(    0) Dmem(    0) [1,0] probe(0000000000000000)
PC(    6,01100110110000101) ALU(    0) Dmem(    0) [0,0] probe(0000000000000000)
PC(    6,01100110110000101) ALU(    0) Dmem(    0) [1,0] probe(0000000000000000)
PC(    6,01100110110000101) ALU(    0) Dmem(    0) [0,0] probe(0000000000000000)
PC(    0,01100000100000010) ALU(    0) Dmem(    0) [1,0] probe(0000000000000000)
PC(    0,01100000100000010) ALU(    0) Dmem(    0) [0,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    0) Dmem(    0) [1,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    0) Dmem(    0) [0,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    2) Dmem(    0) [1,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    2) Dmem(    0) [0,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    0) Dmem(    2) [1,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    0) Dmem(    2) [0,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    0) Dmem(    0) [1,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    0) Dmem(    0) [0,0] probe(0000000000000000)
PC(    4,01010100001111101) ALU(    4) Dmem(    0) [1,0] probe(0000000000000100)
PC(    4,01010100001111101) ALU(    4) Dmem(    0) [0,0] probe(0000000000000100)
PC(    4,01010100001111101) ALU(    0) Dmem(    4) [1,0] probe(0000000000000000)
PC(    4,01010100001111101) ALU(    0) Dmem(    4) [0,0] probe(0000000000000000)
PC(    4,01010100001111101) ALU(    2) Dmem(    0) [1,0] probe(0000000000000000)
PC(    4,01010100001111101) ALU(    2) Dmem(    0) [0,0] probe(0000000000000000)
PC(    4,01010100001111101) ALU(    2) Dmem(    2) [1,0] probe(0000000000000000)
PC(    4,01010100001111101) ALU(    2) Dmem(    2) [0,0] probe(0000000000000000)
PC(    6,01100110110000101) ALU(    0) Dmem(    2) [1,0] probe(0000000000000001)
PC(    6,01100110110000101) ALU(    0) Dmem(    2) [0,0] probe(0000000000000001)
PC(    6,01100110110000101) ALU(    0) Dmem(    0) [1,0] probe(0000000000000000)
PC(    6,01100110110000101) ALU(    0) Dmem(    0) [0,0] probe(0000000000000000)
PC(    6,01100110110000101) ALU(    0) Dmem(    0) [1,0] probe(0000000000000000)
PC(    6,01100110110000101) ALU(    0) Dmem(    0) [0,0] probe(0000000000000000)
PC(    0,01100000100000010) ALU(    0) Dmem(    0) [1,0] probe(0000000000000000)
PC(    0,01100000100000010) ALU(    0) Dmem(    0) [0,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    0) Dmem(    0) [1,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    0) Dmem(    0) [0,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    2) Dmem(    0) [1,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    2) Dmem(    0) [0,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    0) Dmem(    2) [1,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    0) Dmem(    2) [0,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    0) Dmem(    0) [1,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    0) Dmem(    0) [0,0] probe(0000000000000000)
PC(    4,01010100001111101) ALU(    4) Dmem(    0) [1,0] probe(0000000000000100)
PC(    4,01010100001111101) ALU(    4) Dmem(    0) [0,0] probe(0000000000000100)
PC(    4,01010100001111101) ALU(    0) Dmem(    4) [1,0] probe(0000000000000000)
PC(    4,01010100001111101) ALU(    0) Dmem(    4) [0,0] probe(0000000000000000)
PC(    4,01010100001111101) ALU(    2) Dmem(    0) [1,0] probe(0000000000000000)
PC(    4,01010100001111101) ALU(    2) Dmem(    0) [0,0] probe(0000000000000000)
PC(    4,01010100001111101) ALU(    2) Dmem(    2) [1,0] probe(0000000000000000)
PC(    4,01010100001111101) ALU(    2) Dmem(    2) [0,0] probe(0000000000000000)
PC(    6,01100110110000101) ALU(    0) Dmem(    2) [1,0] probe(0000000000000001)
PC(    6,01100110110000101) ALU(    0) Dmem(    2) [0,0] probe(0000000000000001)
PC(    6,01100110110000101) ALU(    0) Dmem(    0) [1,0] probe(0000000000000000)
PC(    6,01100110110000101) ALU(    0) Dmem(    0) [0,0] probe(0000000000000000)
PC(    6,01100110110000101) ALU(    0) Dmem(    0) [1,0] probe(0000000000000000)
PC(    6,01100110110000101) ALU(    0) Dmem(    0) [0,0] probe(0000000000000000)
PC(    0,01100000100000010) ALU(    0) Dmem(    0) [1,0] probe(0000000000000000)
PC(    0,01100000100000010) ALU(    0) Dmem(    0) [0,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    0) Dmem(    0) [1,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    0) Dmem(    0) [0,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    2) Dmem(    0) [1,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    2) Dmem(    0) [0,0] probe(0000000000000000)
PC(    2,01110100100000001) ALU(    0) Dmem(    2) [1,0] probe(0000000000000000)
